spaceID,lotID,isTaken,isDisabled
0,0,f,f
1,0,f,f
2,0,f,f
3,0,f,f
4,0,f,f
5,0,f,f
6,0,f,f
7,0,f,f
8,0,f,f
9,0,f,f
10,0,f,f
11,0,f,f
12,0,f,f
13,0,f,f
14,0,f,f
15,0,f,f
16,0,f,f
17,0,f,f
18,0,f,f
19,0,f,f
20,0,f,f
21,0,f,f
22,0,f,f
23,0,f,f
24,0,f,f
25,0,f,f
26,0,f,f
27,0,f,f
28,0,f,f
29,0,f,f
30,0,f,f
31,0,f,f
32,0,f,f
33,0,f,f
34,0,f,f
35,0,f,f
36,0,f,f
37,0,f,f
38,0,f,f
39,0,f,f
40,0,f,f
41,0,f,f
42,0,f,f
43,0,f,f
44,0,f,f
45,0,f,f
46,0,f,f
47,0,f,f
48,0,f,f
49,0,f,f
50,0,f,f
51,0,f,f
52,0,f,f
53,0,f,f
54,0,f,f
55,0,f,f
56,0,f,f
57,0,f,f
58,0,f,f
59,0,f,f
60,0,f,f
61,0,f,f
62,0,f,f
63,0,f,f
64,0,f,f
65,0,f,f
66,0,f,f
67,0,f,f
68,0,f,f
69,0,f,f
70,0,f,f
71,0,f,f
72,0,f,f
73,0,f,f
74,0,f,f
75,0,f,f
76,0,f,f
77,0,f,f
78,0,f,f
79,0,f,f
80,0,f,f
81,0,f,f
82,0,f,f
83,0,f,f
84,0,f,f
85,0,f,f
86,0,f,f
87,0,f,f
88,0,f,f
89,0,f,f
90,0,f,f
91,0,f,f
92,0,f,f
93,0,f,f
94,0,f,f
95,0,f,f
96,0,f,f
97,0,f,f
98,0,f,f
99,0,f,f
